Implementation,Timestamp,Load_Level,Prometheus_Success,Gatling_Total,Gatling_Success,Gatling_Failed,Error_Rate_%,Prom_Gatling_Delta_%,GC_Time_ms,GC_Collections,Heap_Peak_GB,Heap_Peak_%,CPU_Peak_%,Sync_Status,Error_Status,P50_ms,P75_ms,P95_ms,P99_ms,Min_ms,Mean_ms,Max_ms,StdDev_ms,Req_Per_Sec
java,20260523-161059,1000,300086,300000,300000,0,0,0,1088.9999999999999000,14,2.33,38.00,72.76,EXCELLENT,EXCELLENT,1,1,3393,9255,0,486,16804,1695,1000.0
java,20260523-162439,1000,300081,300000,300000,0,0,0,1052.9999999999998000,14,2.33,38.00,77.01,EXCELLENT,EXCELLENT,1,1,5107,9639,0,618,17205,1940,1000.0
java,20260523-163652,1000,300080,300000,300000,0,0,0,810.000000000000003000,14,2.32,38.00,80.05,EXCELLENT,EXCELLENT,1,1,7843,12476,0,939,21011,2673,1000.0
java,20260523-165249,1000,300098,300000,300000,0,0,0,1245.999999999999998000,14,2.36,39.00,76.91,EXCELLENT,EXCELLENT,1,1,4678,10635,0,679,21386,2023,1000.0
java,20260523-170725,1000,234415,300000,224696,75304,25.100,4.300,9631.000,54,0.75,12.00,89.63,WARNING,HIGH,46319,100660,145846,178527,2,59645,286227,49467,697.6744186046511
java,20260523-171906,1000,300082,300000,300000,0,0,0,90.000,6,2.52,42.00,56.47,EXCELLENT,EXCELLENT,1,1,1,2,0,1,382,8,1000.0
java,20260523-173218,1000,300081,300000,300000,0,0,0,922.0000000000001000,14,2.35,39.00,78.60,EXCELLENT,EXCELLENT,1,1,6490,11775,0,807,22295,2371,1000.0
clojure-idiomatic,20260523-175139,1000,300086,300000,300000,0,0,0,1308.9999999999998000,18,2.35,39.00,79.89,EXCELLENT,EXCELLENT,1,1,7779,11586,0,888,19397,2531,1000.0
clojure-idiomatic,20260523-180435,1000,300080,300000,300000,0,0,0,725.000000000000003000,14,2.19,36.00,80.35,EXCELLENT,EXCELLENT,1,1,5081,9892,0,607,15482,1915,1000.0
clojure-idiomatic,20260523-181756,1000,300081,300000,300000,0,0,0,1338.000000000000002000,18,2.32,38.00,72.74,EXCELLENT,EXCELLENT,1,1,7235,11335,0,907,18351,2491,1000.0
clojure-idiomatic,20260523-183203,1000,300079,300000,300000,0,0,0,1107.000,17,2.34,39.00,81.35,EXCELLENT,EXCELLENT,1,1,6656,12002,0,833,17989,2452,1000.0
clojure-idiomatic,20260523-184449,1000,300082,300000,300000,0,0,0,1644.999999999999803000,18,2.25,37.00,79.20,EXCELLENT,EXCELLENT,1,1,6412,10993,0,757,18106,2267,1000.0
clojure-idiomatic,20260523-185808,1000,300080,300000,300000,0,0,0,1561.999999999999903000,19,2.33,38.00,78.53,EXCELLENT,EXCELLENT,1,1,7453,15042,0,1100,23596,3027,1000.0
clojure-idiomatic,20260523-191036,1000,300082,300000,300000,0,0,0,1381.000,17,2.33,38.00,78.65,EXCELLENT,EXCELLENT,1,1,6855,12077,0,860,23278,2517,1000.0
clojure-interop-java,20260523-192619,1000,300083,300000,300000,0,0,0,1195.9999999999999000,15,2.37,39.00,81.05,EXCELLENT,EXCELLENT,1,1,5296,10520,0,678,19097,2083,1000.0
clojure-interop-java,20260523-193908,1000,300081,300000,300000,0,0,0,1331.000000000000002000,15,2.37,39.00,80.45,EXCELLENT,EXCELLENT,1,1,5497,10166,0,630,15823,1992,1000.0
clojure-interop-java,20260523-195316,1000,300079,300000,300000,0,0,0,1127.000,14,2.32,38.00,75.42,EXCELLENT,EXCELLENT,1,1,6387,10697,0,749,16278,2200,1000.0
clojure-interop-java,20260523-200603,1000,300080,300000,300000,0,0,0,1121.9999999999998000,14,2.34,39.00,76.54,EXCELLENT,EXCELLENT,1,1,6350,10678,0,719,16497,2194,1000.0
clojure-interop-java,20260523-201913,1000,300080,300000,300000,0,0,0,982.000,13,2.34,39.00,76.08,EXCELLENT,EXCELLENT,1,1,4938,9397,0,569,15910,1818,1000.0
clojure-interop-java,20260523-203144,1000,300081,300000,300000,0,0,0,1231.000,13,2.35,39.00,75.08,EXCELLENT,EXCELLENT,1,1,5917,12455,0,814,24699,2500,1000.0
clojure-interop-java,20260523-204453,1000,300089,300000,300000,0,0,0,938.000,13,2.34,39.00,79.07,EXCELLENT,EXCELLENT,1,1,7800,11817,0,903,19275,2599,1000.0
